1963.0000	19.49
1963.0833	21.89
1963.1667	20.49
1963.2500	22.91
1963.3333	21.14
1963.4167	18.46
1963.5000	17.50
1963.5833	18.24
1963.6667	20.67
1963.7500	22.97
1963.8333	24.91
1963.9167	23.12
1964.0000	22.00
1964.0833	20.51
1964.1667	21.48
1964.2500	21.51
1964.3333	21.27
1964.4167	19.01
1964.5000	17.82
1964.5833	17.36
1964.6667	19.47
1964.7500	21.31
1964.8333	20.12
1964.9167	19.80
1965.0000	20.44
1965.0833	20.30
1965.1667	21.02
1965.2500	20.35
1965.3333	20.50
1965.4167	20.02
1965.5000	18.32
1965.5833	18.20
1965.6667	20.51
1965.7500	22.57
1965.8333	20.32
1965.9167	20.89
1966.0000	21.41
1966.0833	20.99
1966.1667	21.01
1966.2500	21.01
1966.3333	20.13
1966.4167	19.12
1966.5000	17.86
1966.5833	17.96
1966.6667	20.01
1966.7500	21.10
1966.8333	21.69
1966.9167	20.80
1967.0000	21.15
1967.0833	21.51
1967.1667	21.32
1967.2500	21.22
1967.3333	20.44
1967.4167	19.24
1967.5000	18.66
1967.5833	18.35
1967.6667	20.19
1967.7500	22.27
1967.8333	22.34
1967.9167	20.54
1968.0000	20.36
1968.0833	21.35
1968.1667	19.36
1968.2500	21.19
1968.3333	20.25
1968.4167	17.68
1968.5000	16.57
1968.5833	17.11
1968.6667	18.97
1968.7500	20.52
1968.8333	21.71
1968.9167	21.55
1969.0000	20.20
1969.0833	21.83
1969.1667	21.92
1969.2500	21.73
1969.3333	21.35
1969.4167	19.38
1969.5000	18.45
1969.5833	18.52
1969.6667	21.18
1969.7500	22.87
1969.8333	21.76
1969.9167	21.25
1970.0000	19.98
1970.0833	20.85
1970.1667	20.85
1970.2500	21.48
1970.3333	20.32
1970.4167	19.93
1970.5000	19.45
1970.5833	18.08
1970.6667	19.44
1970.7500	21.53
1970.8333	21.44
1970.9167	21.29
1971.0000	21.76
1971.0833	21.88
1971.1667	21.31
1971.2500	21.65
1971.3333	21.11
1971.4167	19.75
1971.5000	19.36
1971.5833	18.71
1971.6667	19.68
1971.7500	20.38
1971.8333	19.69
1971.9167	19.83
1972.0000	20.74
1972.0833	21.41
1972.1667	20.96
1972.2500	21.55
1972.3333	19.96
1972.4167	19.65
1972.5000	19.18
1972.5833	19.37
1972.6667	21.27
1972.7500	21.74
1972.8333	22.02
1972.9167	21.68
1973.0000	21.57
1973.0833	22.53
1973.1667	22.12
1973.2500	21.88
1973.3333	21.84
1973.4167	20.13
1973.5000	20.41
1973.5833	19.00
1973.6667	22.00
1973.7500	22.03
1973.8333	20.48
1973.9167	20.99
1974.0000	21.32
1974.0833	21.26
1974.1667	21.50
1974.2500	20.38
1974.3333	20.97
1974.4167	19.50
1974.5000	18.69
1974.5833	17.59
1974.6667	20.19
1974.7500	22.75
1974.8333	21.38
1974.9167	21.48
1975.0000	20.73
1975.0833	21.20
1975.1667	21.52
1975.2500	22.16
1975.3333	20.32
1975.4167	18.99
1975.5000	18.43
1975.5833	17.20
1975.6667	20.17
1975.7500	21.84
1975.8333	21.51
1975.9167	20.90
1976.0000	21.14
1976.0833	21.58
1976.1667	20.94
1976.2500	21.01
1976.3333	21.04
1976.4167	19.83
1976.5000	19.04
1976.5833	18.39
1976.6667	20.94
1976.7500	20.80
1976.8333	20.56
1976.9167	20.03
1977.0000	20.67
1977.0833	20.68
1977.1667	21.49
1977.2500	22.68
1977.3333	21.06
1977.4167	18.88
1977.5000	19.03
1977.5833	19.29
1977.6667	21.78
1977.7500	21.42
1977.8333	21.98
1977.9167	21.52
1978.0000	21.31
1978.0833	21.58
1978.1667	21.00
1978.2500	20.94
1978.3333	20.25
1978.4167	19.61
1978.5000	17.83
1978.5833	18.53
1978.6667	19.42
1978.7500	21.04
1978.8333	21.54
1978.9167	20.89
1979.0000	20.75
1979.0833	20.45
1979.1667	21.05
1979.2500	21.18
1979.3333	20.59
1979.4167	19.77
1979.5000	17.45
1979.5833	18.38
1979.6667	20.69
1979.7500	21.57
1979.8333	22.42
1979.9167	21.05
1980.0000	21.62
1980.0833	20.51
1980.1667	20.33
1980.2500	21.64
1980.3333	20.37
1980.4167	19.65
1980.5000	18.41
1980.5833	19.15
1980.6667	21.10
1980.7500	21.65
1980.8333	23.03
1980.9167	20.98
1981.0000	20.66
1981.0833	20.94
1981.1667	21.91
1981.2500	21.57
1981.3333	20.48
1981.4167	18.96
1981.5000	17.84
1981.5833	17.09
1981.6667	19.96
1981.7500	22.52
1981.8333	20.55
1981.9167	20.76
1982.0000	21.40
1982.0833	20.09
1982.1667	21.55
1982.2500	21.12
1982.3333	19.69
1982.4167	18.62
1982.5000	19.36
1982.5833	18.89
1982.6667	20.36
1982.7500	21.31
1982.8333	21.71
1982.9167	22.12
1983.0000	20.87
1983.0833	20.66
1983.1667	21.23
1983.2500	20.94
1983.3333	21.30
1983.4167	20.25
1983.5000	19.51
1983.5833	19.76
1983.6667	20.24
1983.7500	22.70
1983.8333	20.89
1983.9167	20.72
1984.0000	20.31
1984.0833	21.69
1984.1667	21.85
1984.2500	21.56
1984.3333	20.80
1984.4167	20.95
1984.5000	19.28
1984.5833	19.01
1984.6667	19.99
1984.7500	20.18
1984.8333	21.70
1984.9167	21.81
1985.0000	21.48
1985.0833	19.96
1985.1667	22.03
1985.2500	21.44
1985.3333	20.74
1985.4167	20.21
1985.5000	16.97
1985.5833	17.53
1985.6667	20.58
1985.7500	21.59
1985.8333	21.19
1985.9167	21.08
1986.0000	20.91
1986.0833	21.22
1986.1667	21.35
1986.2500	21.67
1986.3333	21.78
1986.4167	20.86
1986.5000	18.24
1986.5833	18.77
1986.6667	20.60
1986.7500	21.06
1986.8333	21.72
1986.9167	21.49
1987.0000	21.25
1987.0833	22.09
1987.1667	21.64
1987.2500	21.03
1987.3333	21.57
1987.4167	20.70
1987.5000	19.28
1987.5833	19.75
1987.6667	21.53
1987.7500	22.65
1987.8333	22.98
1987.9167	21.15
1988.0000	21.04
1988.0833	22.69
1988.1667	21.82
1988.2500	21.41
1988.3333	21.47
1988.4167	21.10
1988.5000	18.16
1988.5833	17.21
1988.6667	19.34
1988.7500	22.66
