0.0000	5.164
0.0417	5.915
0.0833	6.686
0.1250	7.083
0.1667	7.497
0.2083	7.897
0.2500	8.12
0.2917	7.375
0.3333	6.371
0.3750	5.354
0.4167	4.944
0.4583	4.711
0.5000	4.8
0.5417	5.259
0.5833	5.942
0.6250	6.683
0.6667	7.008
0.7083	7.405
0.7500	7.539
0.7917	7.11
0.8333	6.073
0.8750	5.059
0.9167	4.37
0.9583	4.022
1.0000	3.993
1.0417	4.196
1.0833	4.882
1.1250	5.607
1.1667	6.385
1.2083	7.247
1.2500	7.7
1.2917	7.464
1.3333	6.634
1.3750	5.748
1.4167	5.105
1.4583	4.826
1.5000	4.698
1.5417	4.787
1.5833	5.318
1.6250	6.165
1.6667	6.86
1.7083	7.313
1.7500	7.674
1.7917	7.625
1.8333	7.034
1.8750	6.161
1.9167	5.469
1.9583	5
2.0000	4.734
2.0417	4.623
2.0833	4.869
2.1250	5.423
2.1667	6.417
2.2083	7.52
2.2500	8.068
2.2917	8.114
2.3333	7.5
2.3750	6.795
2.4167	6.083
2.4583	5.82
2.5000	5.44
2.5417	5.056
2.5833	5.138
2.6250	5.669
2.6667	6.529
2.7083	7.188
2.7500	7.562
2.7917	7.592
2.8333	7.395
2.8750	6.886
2.9167	6.483
2.9583	5.689
3.0000	5.161
3.0417	4.806
3.0833	4.839
3.1250	5.371
3.1667	6.388
3.2083	7.421
3.2500	8.022
3.2917	8.209
3.3333	8.258
3.3750	7.907
3.4167	7.507
3.4583	6.752
3.5000	5.981
3.5417	5.558
3.5833	5.479
3.6250	5.735
3.6667	6.253
3.7083	6.739
3.7500	7.411
3.7917	7.785
3.8333	7.963
3.8750	7.621
3.9167	7.162
3.9583	6.404
4.0000	5.65
4.0417	5.069
4.0833	4.593
4.1250	4.551
4.1667	5.318
4.2083	6.188
4.2500	7.034
4.2917	7.297
4.3333	7.152
4.3750	7.142
4.4167	6.814
4.4583	6.332
4.5000	5.719
4.5417	4.78
4.5833	4.091
4.6250	3.652
4.6667	3.911
4.7083	4.567
4.7500	5.377
4.7917	5.866
4.8333	6.286
4.8750	6.621
4.9167	6.391
4.9583	6.056
5.0000	5.423
5.0417	4.511
5.0833	3.848
5.1250	3.658
5.1667	4.14
5.2083	5.312
5.2500	6.572
5.2917	7.336
5.3333	7.995
5.3750	8.245
5.4167	8.196
5.4583	7.789
5.5000	7.244
5.5417	6.457
5.5833	5.82
5.6250	5.184
5.6667	4.669
5.7083	4.797
5.7500	5.269
5.7917	5.968
5.8333	6.778
5.8750	7.29
5.9167	7.628
5.9583	7.32
6.0000	6.699
6.0417	5.689
6.0833	4.583
6.1250	3.901
6.1667	3.724
6.2083	4.314
6.2500	5.338
6.2917	6.457
6.3333	7.356
6.3750	7.907
6.4167	8.271
6.4583	8.264
6.5000	7.608
6.5417	6.611
6.5833	5.659
6.6250	4.934
6.6667	4.4
6.7083	4.065
6.7500	4.436
6.7917	5.223
6.8333	6.211
6.8750	6.975
6.9167	7.776
6.9583	8.337
7.0000	7.913
7.0417	6.916
7.0833	5.489
7.1250	4.265
7.1667	3.875
7.2083	4.019
7.2500	4.688
7.2917	5.997
7.3333	7.467
7.3750	8.422
7.4167	8.747
7.4583	8.638
7.5000	8.271
7.5417	7.743
7.5833	6.873
7.6250	5.922
7.6667	4.757
7.7083	3.681
7.7500	2.966
7.7917	3.297
7.8333	4.14
7.8750	4.783
7.9167	5.643
7.9583	6.411
8.0000	6.407
8.0417	5.554
8.0833	4.419
8.1250	3.028
8.1667	2.3
8.2083	1.998
8.2500	2.208
8.2917	2.841
