1999.0082	1.1825
1999.0110	1.1774
1999.0137	1.1622
1999.0164	1.1706
1999.0192	1.1577
1999.0274	1.1498
1999.0301	1.1564
1999.0329	1.1663
1999.0356	1.17
1999.0383	1.1553
1999.0493	1.1605
1999.0520	1.1557
1999.0548	1.1591
1999.0575	1.1585
1999.0657	1.1549
1999.0684	1.156
1999.0712	1.1423
1999.0739	1.1412
1999.0767	1.1357
1999.0849	1.1298
1999.0876	1.1339
1999.0903	1.13
1999.0931	1.1328
1999.0958	1.1259
1999.1040	1.1324
1999.1068	1.1303
1999.1095	1.1326
1999.1123	1.1233
1999.1150	1.1275
1999.1259	1.1205
1999.1287	1.1245
1999.1314	1.12
1999.1342	1.1076
1999.1424	1.103
1999.1451	1.101
1999.1478	1.1
1999.1506	1.104
1999.1533	1.1026
1999.1615	1.0885
1999.1643	1.0933
1999.1670	1.0889
1999.1697	1.0807
1999.1725	1.0825
1999.1807	1.0883
1999.1834	1.0885
1999.1862	1.0946
1999.1889	1.103
1999.1916	1.0907
1999.1999	1.0933
1999.2026	1.0996
1999.2053	1.0994
1999.2081	1.0966
1999.2108	1.0893
1999.2190	1.0911
1999.2218	1.0911
1999.2245	1.0888
1999.2272	1.0841
1999.2300	1.0765
1999.2382	1.073
1999.2409	1.0713
1999.2437	1.0766
1999.2464	1.078
1999.2574	1.0713
1999.2601	1.0835
1999.2628	1.0773
1999.2656	1.0743
1999.2683	1.0791
1999.2765	1.0813
1999.2793	1.0769
1999.2820	1.08
1999.2847	1.0703
1999.2875	1.07
1999.2957	1.0658
1999.2984	1.0631
1999.3012	1.061
1999.3039	1.0642
1999.3066	1.0613
1999.3149	1.0585
1999.3176	1.0664
1999.3203	1.0633
1999.3231	1.0587
1999.3258	1.058
1999.3340	1.0571
1999.3368	1.0623
1999.3395	1.0755
1999.3422	1.0799
1999.3450	1.0756
1999.3532	1.0785
1999.3559	1.0714
1999.3587	1.065
1999.3614	1.0661
1999.3641	1.0661
1999.3723	1.0669
1999.3751	1.0672
1999.3778	1.0661
1999.3806	1.0623
1999.3833	1.0575
1999.3915	1.0594
1999.3943	1.0603
1999.3970	1.044
1999.3997	1.0432
1999.4025	1.041
1999.4134	1.0452
1999.4162	1.0355
1999.4189	1.0324
1999.4216	1.0372
1999.4298	1.0288
1999.4326	1.046
1999.4353	1.047
1999.4381	1.0479
1999.4408	1.0535
1999.4490	1.0421
1999.4517	1.0426
1999.4545	1.0298
1999.4572	1.0335
1999.4600	1.0388
1999.4682	1.0348
1999.4709	1.0323
1999.4736	1.033
1999.4764	1.0421
1999.4791	1.043
1999.4873	1.0349
1999.4901	1.0328
1999.4928	1.0338
1999.4956	1.0233
1999.4983	1.0255
1999.5092	1.0236
1999.5120	1.0215
1999.5147	1.0217
1999.5175	1.0176
1999.5257	1.0145
1999.5284	1.0165
1999.5311	1.0204
1999.5339	1.0191
1999.5366	1.0196
1999.5448	1.0295
1999.5476	1.0408
1999.5503	1.0537
1999.5530	1.0514
1999.5558	1.0495
1999.5640	1.065
1999.5667	1.0621
1999.5695	1.0665
1999.5722	1.0724
1999.5749	1.0697
1999.5832	1.0693
1999.5859	1.0682
1999.5886	1.0772
1999.5914	1.0754
1999.5941	1.0745
